date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:08:29	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2013:08:29%20GMT	http://archive.pycon.kr/2015	C:/pycon2015/pycon2014/archive.pycon.kr/2015.0.delayed	(from )
22:08:29	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2013:08:29%20GMT	https://archive.pycon.kr/2015	C:/pycon2015/pycon2014/archive.pycon.kr/2015.1.delayed	(from )
22:08:30	153/153	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Jul%202021%2013:08:30%20GMT	https://archive.pycon.kr/robots.txt		(from )
22:08:30	17787/17787	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2013:08:30%20GMT	https://archive.pycon.kr/2015/	C:/pycon2015/pycon2014/archive.pycon.kr/2015/index.html	(from )
22:08:30	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2013:08:30%20GMT	http://www.pycon.kr/2015/static/image/pyconkr-badge.png	C:/pycon2015/pycon2014/www.pycon.kr/2015/static/image/pyconkr-badge.2.delayed	(from https://archive.pycon.kr/2015/)
22:08:30	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2013:08:30%20GMT	https://www.pycon.kr:443/2015/static/image/pyconkr-badge.png	C:/pycon2015/pycon2014/www.pycon.kr_443/2015/static/image/pyconkr-badge.3.delayed	(from https://archive.pycon.kr/2015/)
22:08:31	39083/39083	---MCZ	200	added ('OK')	image/png	etag:W/%22550d1d51-98ab%22	https://archive.pycon.kr:443/2015/static/image/pyconkr-badge.png	C:/pycon2015/pycon2014/archive.pycon.kr_443/2015/static/image/pyconkr-badge.png	(from https://archive.pycon.kr/2015/)
22:08:32	99961/99961	---MCZ	200	added ('OK')	text/css	etag:W/%22550d1d51-18679%22	https://archive.pycon.kr/2015/static/components/bootstrap/dist/css/bootstrap.min.css	C:/pycon2015/pycon2014/archive.pycon.kr/2015/static/components/bootstrap/dist/css/bootstrap.min.css	(from https://archive.pycon.kr/2015/)
22:08:32	19473/19473	---MCZ	200	added ('OK')	text/css	etag:W/%22550d1d51-4c11%22	https://archive.pycon.kr/2015/static/components/bootstrap-social/bootstrap-social.css	C:/pycon2015/pycon2014/archive.pycon.kr/2015/static/components/bootstrap-social/bootstrap-social.css	(from https://archive.pycon.kr/2015/)
22:08:33	20766/20766	---MCZ	200	added ('OK')	text/css	etag:W/%22550d1d51-511e%22	https://archive.pycon.kr/2015/static/components/font-awesome/css/font-awesome.min.css	C:/pycon2015/pycon2014/archive.pycon.kr/2015/static/components/font-awesome/css/font-awesome.min.css	(from https://archive.pycon.kr/2015/)
22:08:33	8929/8929	---MCZ	200	added ('OK')	text/css	etag:W/%2255c59004-22e1%22	https://archive.pycon.kr/2015/static/css/pyconkr.css	C:/pycon2015/pycon2014/archive.pycon.kr/2015/static/css/pyconkr.css	(from https://archive.pycon.kr/2015/)
22:08:33	3107/3107	---MCZ	200	added ('OK')	text/css	etag:W/%22554a3b67-c23%22	https://archive.pycon.kr/2015/static/css/pyconkr-media.css	C:/pycon2015/pycon2014/archive.pycon.kr/2015/static/css/pyconkr-media.css	(from https://archive.pycon.kr/2015/)
